ts,ph,tid,pid,cat,bp,id,name
6083647116976.769,f,383547,383547,ac2g,e,8,ac2g
6083647116989.415,f,383547,383547,ac2g,e,9,ac2g
6083647116991.052,f,383547,383547,ac2g,e,10,ac2g
6083647116992.642,f,383547,383547,ac2g,e,11,ac2g
6083647120702.857,f,7,0,ac2g,e,15,ac2g
6083647117016.659,s,383547,383547,ac2g,,15,ac2g
6083647117043.81,f,383547,383547,ac2g,e,16,ac2g
6083647117048.348,s,383547,383547,ac2g,,17,ac2g
6083647120705.801,f,7,0,ac2g,e,18,ac2g
6083647117049.614,s,383547,383547,ac2g,,18,ac2g
6083647117058.89,f,383547,383547,ac2g,e,19,ac2g
6083647120746.122,f,7,0,ac2g,e,26,ac2g
6083647117122.714,s,383547,383547,ac2g,,26,ac2g
6083647120792.905,f,7,0,ac2g,e,32,ac2g
6083647117231.142,s,383547,383547,ac2g,,32,ac2g
6083647117367.842,f,383547,383547,ac2g,e,46,ac2g
6083647117371.552,f,383547,383547,ac2g,e,47,ac2g
6083647117372.925,f,383547,383547,ac2g,e,48,ac2g
6083647117374.091,f,383547,383547,ac2g,e,49,ac2g
6083647117413.115,f,383547,383547,ac2g,e,73,ac2g
6083647117414.526,f,383547,383547,ac2g,e,74,ac2g
6083647117415.19,f,383547,383547,ac2g,e,75,ac2g
6083647117415.838,f,383547,383547,ac2g,e,76,ac2g
6083647120795.913,f,7,0,ac2g,e,84,ac2g
6083647117429.208,s,383547,383547,ac2g,,84,ac2g
6083647120860.841,f,7,0,ac2g,e,96,ac2g
6083647117527.516,s,383547,383547,ac2g,,96,ac2g
6083647120907.945,f,7,0,ac2g,e,104,ac2g
6083647117615.273,s,383547,383547,ac2g,,104,ac2g
6083647117732.661,f,383547,383547,ac2g,e,119,ac2g
6083647117736.163,f,383547,383547,ac2g,e,120,ac2g
6083647117737.357,f,383547,383547,ac2g,e,121,ac2g
6083647117738.467,f,383547,383547,ac2g,e,122,ac2g
6083647117761.234,f,383547,383547,ac2g,e,126,ac2g
6083647120955.113,f,7,0,ac2g,e,127,ac2g
6083647117764.073,s,383547,383547,ac2g,,127,ac2g
6083647120959.049,f,7,0,ac2g,e,129,ac2g
6083647117777.93,s,383547,383547,ac2g,,129,ac2g
6083647117783.965,f,383547,383547,ac2g,e,130,ac2g
6083647121104.137,f,7,0,ac2g,e,137,ac2g
6083647117813.675,s,383547,383547,ac2g,,137,ac2g
6083647121150.857,f,7,0,ac2g,e,143,ac2g
6083647117885.993,s,383547,383547,ac2g,,143,ac2g
6083647117965.858,f,383547,383547,ac2g,e,157,ac2g
6083647117968.909,f,383547,383547,ac2g,e,158,ac2g
6083647117970.004,f,383547,383547,ac2g,e,159,ac2g
6083647117970.972,f,383547,383547,ac2g,e,160,ac2g
6083647118010.662,f,383547,383547,ac2g,e,184,ac2g
